sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,raw_CEP_HR,AMP_CEP_HR,BP_CEP_HR,Median_CEP_HR,Wavelet_CEP_HR,AMP->BP_CEP_HR,AMP->Median_CEP_HR,AMP->Wavelet_CEP_HR,BP->AMP_CEP_HR,BP->Median_CEP_HR,BP->Wavelet_CEP_HR,Median->AMP_CEP_HR,Median->BP_CEP_HR,Median->Wavelet_CEP_HR,Wavelet->AMP_CEP_HR,Wavelet->BP_CEP_HR,Wavelet->Median_CEP_HR,best_filter
sample_0,95.0,"[10.75, 40.75]",106.93359375000038,50.00000000000018,50.00000000000018,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,Median
sample_1,108.0,"[0.74, 30.74]",60.49804687500021,50.00000000000018,55.0000000000002,50.00000000000018,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,75.00000000000027,50.00000000000018,100.00000000000036,100.00000000000036,60.00000000000021,150.00000000000054,AMP->Wavelet
sample_2,104.0,"[19.54, 49.54]",143.2617187500005,50.00000000000018,50.00000000000018,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,55.0000000000002,100.00000000000036,150.00000000000054,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,Median
sample_3,94.0,"[11.90, 41.90]",62.10937500000023,60.00000000000021,60.00000000000021,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,75.00000000000027,50.00000000000018,150.00000000000054,100.00000000000036,50.00000000000018,150.00000000000054,AMP->Wavelet
sample_4,91.0,"[27.16, 57.16]",56.8359374999992,42.85714285714225,49.99999999999929,42.85714285714225,99.99999999999858,99.99999999999858,42.85714285714225,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,99.99999999999858,74.99999999999893,49.99999999999929,99.99999999999858,99.99999999999858,49.99999999999929,149.99999999999787,Median
sample_5,86.0,"[4.50, 34.50]",63.63916015617259,50.16666666660565,60.19999999992678,50.16666666660565,100.3333333332113,150.49999999981696,50.16666666660565,100.3333333332113,100.3333333332113,60.19999999992678,100.3333333332113,150.49999999981696,100.3333333332113,50.16666666660565,100.3333333332113,125.41666666651413,50.16666666660565,150.49999999981696,Median
sample_6,93.0,"[3.15, 33.15]",65.18554687500023,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,100.00000000000036,150.00000000000054,125.00000000000045,Median
sample_7,94.0,"[14.89, 44.89]",81.1523437500003,50.00000000000018,50.00000000000018,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,100.00000000000036,42.85714285714301,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,Median
sample_8,98.0,"[28.82, 58.82]",64.30664062499908,49.99999999999929,54.99999999999922,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,99.99999999999858,149.99999999999787,149.99999999999787,Median
sample_9,91.0,"[14.42, 44.42]",102.09960937500036,50.00000000000018,50.00000000000018,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,Median
