sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,ABP_HR,EMD_HR,ROS_HR,LEN_HR,ABP→EMD_HR,ABP→ROS_HR,ABP→LEN_HR,EMD→ABP_HR,EMD→ROS_HR,EMD→LEN_HR,ROS→ABP_HR,ROS→EMD_HR,ROS→LEN_HR,LEN→ABP_HR,LEN→EMD_HR,LEN→ROS_HR
sample_0,76.0,"[17.32, 47.32]",128.62127721720125,17.32,47.32,125.11203715077698,125.72233977102468,123.89143191028161,128.77385287226312,128.77385287226312,124.50173453052929,125.11203715077698,128.16355025201545,123.89143191028161,123.89143191028161,127.55324763176776,128.77385287226312,111.68537950532776,70.18480132848464,129.38415549251084,128.16355025201545,128.77385287226312
sample_1,78.0,"[28.95, 58.95]",126.77596962208996,28.95,58.95,124.48759471916416,124.48759471916416,123.26712810427037,125.09782802661104,125.70806133405793,123.26712810427037,123.87736141171726,123.87736141171726,123.26712810427037,123.26712810427037,124.48759471916416,124.48759471916416,123.87736141171726,125.70806133405793,125.70806133405793,125.09782802661104,125.70806133405793
sample_2,81.0,"[29.11, 59.11]",123.2997118933143,29.11,59.11,119.63734421331486,119.63734421331486,119.02694959998162,119.02694959998162,119.63734421331486,119.02694959998162,119.63734421331486,120.24773882664809,119.02694959998162,119.02694959998162,119.02694959998162,119.02694959998162,118.41655498664838,119.02694959998162,119.63734421331486,118.41655498664838,119.63734421331486
sample_3,83.0,"[9.95, 39.95]",120.3697849295368,9.95,39.95,123.26842360337862,123.26842360337862,122.6581838825698,123.26842360337862,122.047944161761,122.6581838825698,123.26842360337862,122.047944161761,122.6581838825698,122.6581838825698,122.047944161761,123.26842360337862,123.26842360337862,122.047944161761,122.047944161761,122.047944161761,122.047944161761
sample_4,65.0,"[2.32, 32.32]",69.8915697234708,2.32,32.32,69.58636636223294,69.58636636223294,117.19809071533969,70.19677308470865,69.58636636223294,69.58636636223294,69.58636636223294,68.9759596397572,117.19809071533969,117.19809071533969,115.3668705479125,70.19677308470865,118.41890416029113,69.58636636223294,69.58636636223294,114.14605710296104,69.58636636223294
sample_5,72.0,"[8.68, 38.68]",71.70864928386312,8.68,38.68,70.79321971853722,70.79321971853722,114.12355247729707,71.40350609542116,71.40350609542116,70.79321971853722,71.40350609542116,71.40350609542116,114.12355247729707,114.12355247729707,113.51326610041313,71.40350609542116,114.12355247729707,71.40350609542116,71.40350609542116,113.51326610041313,71.40350609542116
sample_6,66.0,"[14.39, 44.39]",124.97958971917802,14.39,44.39,125.13218995082538,125.74259087741478,125.13218995082538,126.35299180400415,69.58570563119069,125.13218995082538,125.13218995082538,126.35299180400415,125.13218995082538,125.13218995082538,126.96339273059354,126.35299180400415,125.74259087741478,125.74259087741478,69.58570563119069,125.74259087741478,126.35299180400415
sample_7,71.0,"[6.16, 36.16]",126.03193521075758,6.16,36.16,125.72677314002935,125.72677314002935,124.50612485711643,125.72677314002935,125.72677314002935,125.11644899857288,125.72677314002935,125.72677314002935,124.50612485711643,124.50612485711643,125.11644899857288,125.72677314002935,124.50612485711643,125.72677314002935,125.72677314002935,124.50612485711643,123.89580071565999
sample_8,68.0,"[7.10, 37.10]",125.9772386884126,7.1,37.1,125.67220905478449,125.67220905478449,125.67220905478449,125.67220905478449,125.06214978752826,125.67220905478449,125.67220905478449,125.67220905478449,125.67220905478449,125.67220905478449,125.06214978752826,125.67220905478449,125.67220905478449,124.45209052027201,125.06214978752826,125.06214978752826,125.06214978752826
sample_9,69.0,"[21.65, 51.65]",132.58307462919433,21.65,51.65,130.59966844947107,130.59966844947107,129.98938962494083,129.98938962494083,130.59966844947107,129.98938962494083,129.98938962494083,130.59966844947107,129.98938962494083,129.98938962494083,129.98938962494083,129.98938962494083,129.98938962494083,128.76883197588035,130.59966844947107,130.59966844947107,129.98938962494083
sample_10,72.0,"[18.96, 48.96]",123.88838653144738,18.96,48.96,121.44723605792132,121.44723605792132,120.22666082115829,119.61637320277677,122.66781129468433,120.22666082115829,120.8369484395398,122.66781129468433,120.22666082115829,120.22666082115829,122.66781129468433,119.61637320277677,119.00608558439525,122.05752367630282,122.66781129468433,122.05752367630282,122.66781129468433
sample_11,69.0,"[3.61, 33.61]",122.23382182217108,3.61,33.61,122.08122029680007,122.08122029680007,121.47081419531605,122.69162639828406,122.69162639828406,121.47081419531605,122.08122029680007,120.25000199234806,121.47081419531605,121.47081419531605,120.86040809383208,122.69162639828406,120.86040809383208,123.91243860125206,122.69162639828406,121.47081419531605,122.08122029680007
sample_12,69.0,"[29.37, 59.37]",115.49990794581063,29.37,59.37,69.57458127250946,69.57458127250946,119.0091521766609,120.2297588656523,118.39884883216521,69.57458127250946,69.57458127250946,70.79518796150084,119.0091521766609,119.61945552115662,118.39884883216521,119.61945552115662,119.0091521766609,119.0091521766609,118.39884883216521,117.78854548766952,117.17824214317382
sample_13,73.0,"[24.61, 54.61]",125.2962835716199,24.61,54.61,123.3122985698768,123.3122985698768,122.70184164626356,123.3122985698768,122.70184164626356,122.70184164626356,123.3122985698768,123.92275549349007,122.70184164626356,122.70184164626356,123.3122985698768,123.3122985698768,122.70184164626356,123.92275549349007,123.3122985698768,120.87047087542379,121.48092779903706
sample_14,74.0,"[26.17, 56.17]",67.93796322459863,26.17,56.17,67.78529364431864,67.17461532319864,125.18905582959748,67.17461532319864,67.17461532319864,67.17461532319864,67.78529364431864,67.17461532319864,125.18905582959748,125.18905582959748,122.74634254511753,67.17461532319864,67.78529364431864,67.17461532319864,67.17461532319864,122.74634254511753,67.17461532319864
