sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,AMP_HR,BP_HR,Median_HR,Wavelet_HR,AMP->BP_HR,AMP->Median_HR,AMP->Wavelet_HR,BP->AMP_HR,BP->Median_HR,BP->Wavelet_HR,Median->AMP_HR,Median->BP_HR,Median->Wavelet_HR,Wavelet->AMP_HR,Wavelet->BP_HR,Wavelet->Median_HR
sample_0,95.0,"[10.75, 40.75]",106.93359375000038,10.75,40.75,67.50000000000024,67.50000000000024,67.50000000000024,75.00000000000027,45.000000000000156,67.50000000000024,75.00000000000027,45.000000000000156,67.50000000000024,75.00000000000027,45.000000000000156,75.00000000000027,75.00000000000027,67.50000000000024,45.000000000000156,45.000000000000156,45.000000000000156
sample_1,108.0,"[0.74, 30.74]",60.49804687500021,0.74,30.74,142.5000000000005,142.5000000000005,142.5000000000005,75.00000000000027,67.50000000000024,142.5000000000005,75.00000000000027,52.500000000000185,142.5000000000005,75.00000000000027,67.50000000000024,75.00000000000027,75.00000000000027,45.000000000000156,45.000000000000156,67.50000000000024,45.000000000000156
sample_2,104.0,"[19.54, 49.54]",143.2617187500005,19.54,49.54,105.00000000000037,105.00000000000037,105.00000000000037,105.00000000000037,45.000000000000156,105.00000000000037,105.00000000000037,45.000000000000156,105.00000000000037,105.00000000000037,45.000000000000156,105.00000000000037,105.00000000000037,52.500000000000185,45.000000000000156,45.000000000000156,45.000000000000156
sample_3,94.0,"[11.90, 41.90]",62.10937500000023,11.9,41.9,60.00000000000021,60.00000000000021,60.00000000000021,67.50000000000024,45.000000000000156,60.00000000000021,67.50000000000024,52.500000000000185,60.00000000000021,67.50000000000024,45.000000000000156,82.5000000000003,82.5000000000003,45.000000000000156,45.000000000000156,67.50000000000024,45.000000000000156
sample_4,91.0,"[27.16, 57.16]",56.8359374999992,27.16,57.16,56.249999999999204,56.249999999999204,56.249999999999204,84.3749999999988,56.249999999999204,56.249999999999204,84.3749999999988,56.249999999999204,56.249999999999204,84.3749999999988,56.249999999999204,84.3749999999988,84.3749999999988,84.3749999999988,56.249999999999204,56.249999999999204,46.87499999999933
sample_5,86.0,"[4.50, 34.50]",63.63916015617259,4.5,34.5,67.72499999991763,67.72499999991763,67.72499999991763,45.14999999994509,45.14999999994509,67.72499999991763,45.14999999994509,45.14999999994509,67.72499999991763,90.29999999989018,45.14999999994509,75.24999999990848,75.24999999990848,127.9249999998444,45.14999999994509,52.674999999935935,45.14999999994509
sample_6,93.0,"[3.15, 33.15]",65.18554687500023,3.15,33.15,60.00000000000021,60.00000000000021,60.00000000000021,82.5000000000003,112.5000000000004,60.00000000000021,82.5000000000003,45.000000000000156,60.00000000000021,82.5000000000003,112.5000000000004,82.5000000000003,82.5000000000003,75.00000000000027,97.50000000000034,142.5000000000005,52.500000000000185
sample_7,94.0,"[14.89, 44.89]",81.1523437500003,14.89,44.89,135.00000000000048,135.00000000000048,135.00000000000048,82.5000000000003,45.000000000000156,135.00000000000048,82.5000000000003,45.000000000000156,135.00000000000048,82.5000000000003,52.500000000000185,82.5000000000003,82.5000000000003,142.5000000000005,45.000000000000156,45.000000000000156,52.500000000000185
sample_8,98.0,"[28.82, 58.82]",64.30664062499908,28.82,58.82,65.62499999999906,65.62499999999906,65.62499999999906,93.74999999999866,46.87499999999933,65.62499999999906,93.74999999999866,46.87499999999933,65.62499999999906,93.74999999999866,46.87499999999933,93.74999999999866,93.74999999999866,103.12499999999854,46.87499999999933,56.249999999999204,46.87499999999933
sample_9,91.0,"[14.42, 44.42]",102.09960937500036,14.42,44.42,105.00000000000037,105.00000000000037,105.00000000000037,90.00000000000031,45.000000000000156,105.00000000000037,90.00000000000031,45.000000000000156,105.00000000000037,90.00000000000031,45.000000000000156,90.00000000000031,90.00000000000031,90.00000000000031,45.000000000000156,52.500000000000185,45.000000000000156
