sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,AMP_HR,BP_HR,Median_HR,Wavelet_HR,AMP->BP_HR,AMP->Median_HR,AMP->Wavelet_HR,BP->AMP_HR,BP->Median_HR,BP->Wavelet_HR,Median->AMP_HR,Median->BP_HR,Median->Wavelet_HR,Wavelet->AMP_HR,Wavelet->BP_HR,Wavelet->Median_HR
sample_0,58.0,"[24.11, 54.11]",61.37695312500021,24.11,54.11,60.00000000000021,60.00000000000021,60.00000000000021,75.00000000000027,52.500000000000185,60.00000000000021,75.00000000000027,52.500000000000185,60.00000000000021,67.50000000000024,52.500000000000185,75.00000000000027,75.00000000000027,52.500000000000185,67.50000000000024,60.00000000000021,45.000000000000156
sample_1,57.0,"[24.55, 54.55]",55.22460937500019,24.55,54.55,52.500000000000185,52.500000000000185,52.500000000000185,97.50000000000034,52.500000000000185,52.500000000000185,97.50000000000034,52.500000000000185,52.500000000000185,90.00000000000031,52.500000000000185,97.50000000000034,97.50000000000034,60.00000000000021,52.500000000000185,52.500000000000185,45.000000000000156
sample_2,63.0,"[18.38, 48.38]",62.69531250000023,18.38,48.38,60.00000000000021,60.00000000000021,60.00000000000021,97.50000000000034,60.00000000000021,60.00000000000021,97.50000000000034,52.500000000000185,60.00000000000021,97.50000000000034,60.00000000000021,75.00000000000027,97.50000000000034,67.50000000000024,60.00000000000021,60.00000000000021,45.000000000000156
sample_3,59.0,"[25.13, 55.13]",59.03320312499916,25.13,55.13,56.249999999999204,56.249999999999204,56.249999999999204,46.87499999999933,56.249999999999204,56.249999999999204,46.87499999999933,65.62499999999906,56.249999999999204,46.87499999999933,46.87499999999933,46.87499999999933,46.87499999999933,46.87499999999933,56.249999999999204,56.249999999999204,46.87499999999933
sample_4,64.0,"[0.00, 30.00]",65.18554687500023,0.0,30.0,60.00000000000021,67.50000000000024,67.50000000000024,75.00000000000027,75.00000000000027,67.50000000000024,75.00000000000027,52.500000000000185,67.50000000000024,75.00000000000027,75.00000000000027,75.00000000000027,75.00000000000027,45.000000000000156,52.500000000000185,75.00000000000027,75.00000000000027
sample_5,59.0,"[1.38, 31.38]",63.28125000000023,1.38,31.38,67.50000000000024,67.50000000000024,67.50000000000024,90.00000000000031,45.000000000000156,67.50000000000024,90.00000000000031,45.000000000000156,67.50000000000024,90.00000000000031,52.500000000000185,90.00000000000031,90.00000000000031,67.50000000000024,45.000000000000156,45.000000000000156,52.500000000000185
sample_6,57.0,"[25.51, 55.51]",69.14062499999902,25.51,55.51,65.62499999999906,65.62499999999906,65.62499999999906,74.99999999999893,46.87499999999933,65.62499999999906,74.99999999999893,46.87499999999933,65.62499999999906,74.99999999999893,46.87499999999933,74.99999999999893,74.99999999999893,65.62499999999906,46.87499999999933,56.249999999999204,46.87499999999933
sample_7,69.0,"[9.45, 39.45]",51.12304687500018,9.45,39.45,52.500000000000185,60.00000000000021,52.500000000000185,75.00000000000027,127.50000000000045,60.00000000000021,75.00000000000027,52.500000000000185,60.00000000000021,75.00000000000027,127.50000000000045,75.00000000000027,75.00000000000027,75.00000000000027,45.000000000000156,127.50000000000045,45.000000000000156
sample_8,55.0,"[0.27, 30.27]",65.69677734367009,0.27,30.27,67.72499999991763,67.72499999991763,67.72499999991763,82.77499999989932,67.72499999991763,67.72499999991763,82.77499999989932,52.674999999935935,67.72499999991763,82.77499999989932,67.72499999991763,82.77499999989932,82.77499999989932,67.72499999991763,67.72499999991763,67.72499999991763,82.77499999989932
sample_9,64.0,"[1.30, 31.30]",66.65039062500024,1.3,31.3,67.50000000000024,67.50000000000024,67.50000000000024,75.00000000000027,67.50000000000024,67.50000000000024,75.00000000000027,60.00000000000021,67.50000000000024,75.00000000000027,67.50000000000024,75.00000000000027,75.00000000000027,45.000000000000156,60.00000000000021,67.50000000000024,75.00000000000027
sample_10,62.0,"[25.87, 55.87]",58.88671874999916,25.87,55.87,56.249999999999204,56.249999999999204,56.249999999999204,84.3749999999988,84.3749999999988,56.249999999999204,84.3749999999988,103.12499999999854,56.249999999999204,84.3749999999988,93.74999999999866,84.3749999999988,84.3749999999988,46.87499999999933,84.3749999999988,84.3749999999988,84.3749999999988
sample_11,60.0,"[3.46, 33.46]",55.22460937500019,3.46,33.46,75.00000000000027,75.00000000000027,75.00000000000027,75.00000000000027,82.5000000000003,75.00000000000027,75.00000000000027,45.000000000000156,75.00000000000027,75.00000000000027,82.5000000000003,75.00000000000027,75.00000000000027,127.50000000000045,82.5000000000003,82.5000000000003,82.5000000000003
sample_12,63.0,"[0.00, 30.00]",56.8359375000002,0.0,30.0,60.00000000000021,60.00000000000021,60.00000000000021,45.000000000000156,52.500000000000185,60.00000000000021,45.000000000000156,60.00000000000021,60.00000000000021,75.00000000000027,52.500000000000185,45.000000000000156,90.00000000000031,45.000000000000156,52.500000000000185,52.500000000000185,45.000000000000156
sample_13,63.0,"[27.55, 57.55]",65.91796874999906,27.55,57.55,65.62499999999906,65.62499999999906,65.62499999999906,65.62499999999906,84.3749999999988,65.62499999999906,65.62499999999906,93.74999999999866,65.62499999999906,65.62499999999906,93.74999999999866,65.62499999999906,65.62499999999906,65.62499999999906,46.87499999999933,84.3749999999988,84.3749999999988
sample_14,59.0,"[9.35, 39.35]",60.49804687500021,9.35,39.35,60.00000000000021,67.50000000000024,60.00000000000021,75.00000000000027,105.00000000000037,67.50000000000024,75.00000000000027,105.00000000000037,67.50000000000024,75.00000000000027,127.50000000000045,75.00000000000027,75.00000000000027,75.00000000000027,97.50000000000034,105.00000000000037,97.50000000000034
sample_15,65.0,"[13.27, 43.27]",67.38281250000024,13.27,43.27,67.50000000000024,67.50000000000024,67.50000000000024,75.00000000000027,52.500000000000185,67.50000000000024,75.00000000000027,52.500000000000185,67.50000000000024,75.00000000000027,67.50000000000024,75.00000000000027,75.00000000000027,75.00000000000027,52.500000000000185,67.50000000000024,45.000000000000156
sample_16,66.0,"[2.04, 32.04]",84.0820312500003,2.04,32.04,90.00000000000031,90.00000000000031,90.00000000000031,90.00000000000031,142.5000000000005,90.00000000000031,90.00000000000031,142.5000000000005,90.00000000000031,90.00000000000031,142.5000000000005,82.5000000000003,90.00000000000031,82.5000000000003,90.00000000000031,142.5000000000005,45.000000000000156
sample_17,68.0,"[1.16, 31.16]",61.96289062500023,1.16,31.16,67.50000000000024,67.50000000000024,67.50000000000024,75.00000000000027,67.50000000000024,67.50000000000024,75.00000000000027,67.50000000000024,67.50000000000024,75.00000000000027,67.50000000000024,75.00000000000027,75.00000000000027,82.5000000000003,67.50000000000024,67.50000000000024,45.000000000000156
sample_18,65.0,"[16.66, 46.66]",65.18554687500023,16.66,46.66,67.50000000000024,67.50000000000024,67.50000000000024,82.5000000000003,45.000000000000156,67.50000000000024,82.5000000000003,45.000000000000156,67.50000000000024,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,45.000000000000156,52.500000000000185,60.00000000000021,45.000000000000156
sample_19,63.0,"[1.54, 31.54]",66.50390625000024,1.54,31.54,67.50000000000024,67.50000000000024,67.50000000000024,52.500000000000185,142.5000000000005,67.50000000000024,52.500000000000185,60.00000000000021,67.50000000000024,52.500000000000185,60.00000000000021,75.00000000000027,52.500000000000185,52.500000000000185,75.00000000000027,135.00000000000048,82.5000000000003
sample_20,67.0,"[16.67, 46.67]",65.77148437500024,16.67,46.67,67.50000000000024,67.50000000000024,67.50000000000024,67.50000000000024,52.500000000000185,67.50000000000024,67.50000000000024,52.500000000000185,67.50000000000024,67.50000000000024,52.500000000000185,67.50000000000024,67.50000000000024,67.50000000000024,52.500000000000185,60.00000000000021,45.000000000000156
