sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_25,58.08105468750008,59.0,,"[27.65, 57.65]",93.45703124999866,,"[5.29, 35.29]",58.154296875000206,,"[5.29, 35.29]",58.154296875000206,,"[8.40, 38.40]",65.18554687500023,,"[3.41, 33.41]",58.300781250000206
sample_26,62.25585937500009,63.0,,"[6.45, 36.45]",63.42773437500023,,"[11.35, 41.35]",63.42773437500023,,"[11.35, 41.35]",63.42773437500023,,"[5.64, 35.64]",63.13476562500023,,"[11.89, 41.89]",63.28125000000023
sample_27,63.28125000000009,59.0,,"[26.65, 56.65]",60.93749999999913,,"[1.13, 31.13]",71.77734375000026,,"[1.13, 31.13]",71.77734375000026,,"[8.43, 38.43]",63.86718750000023,,"[1.05, 31.05]",71.77734375000026
sample_28,53.68652343750007,59.0,,"[8.70, 38.70]",55.22460937500019,,"[29.62, 59.62]",66.65039062499905,,"[29.62, 59.62]",66.65039062499905,,"[5.39, 35.39]",53.61328125000019,,"[27.28, 57.28]",64.74609374999908
sample_29,53.54003906250007,69.0,,"[9.10, 39.10]",56.5429687500002,,"[29.14, 59.14]",62.988281249999105,,"[29.14, 59.14]",62.988281249999105,,"[2.65, 32.65]",53.173828125000185,,"[30.00, 60.00]",55.957031249999204
sample_30,88.47656250000011,63.0,,"[10.70, 40.70]",63.72070312500023,,"[8.39, 38.39]",88.33007812500031,,"[8.39, 38.39]",88.33007812500031,,"[9.60, 39.60]",67.23632812500024,,"[7.34, 37.34]",84.81445312500031
sample_31,61.30371093750009,67.0,,"[16.10, 46.10]",60.35156250000021,,"[1.86, 31.86]",59.033203125000206,,"[1.86, 31.86]",59.033203125000206,,"[19.45, 49.45]",60.93750000000021,,"[3.55, 33.55]",58.740234375000206
sample_32,60.27832031250008,66.0,,"[12.60, 42.60]",59.17968750000021,,"[28.43, 58.43]",61.81640624999912,,"[28.43, 58.43]",61.81640624999912,,"[4.05, 34.05]",57.421875000000206,,"[28.16, 58.16]",61.66992187499912
sample_33,59.838867187500085,65.0,,"[18.30, 48.30]",56.9824218750002,,"[1.50, 31.50]",66.21093750000024,,"[1.50, 31.50]",66.21093750000024,,"[7.77, 37.77]",66.21093750000024,,"[3.24, 33.24]",58.447265625000206
sample_34,59.545898437500085,61.0,,"[21.30, 51.30]",56.3964843750002,,"[29.81, 59.81]",60.35156249999915,,"[29.81, 59.81]",60.35156249999915,,"[9.14, 39.14]",59.91210937500021,,"[26.39, 56.39]",59.326171874999154
sample_35,59.399414062500085,68.0,,"[16.65, 46.65]",58.740234375000206,,"[2.02, 32.02]",72.36328125000026,,"[2.02, 32.02]",72.36328125000026,,"[10.66, 40.66]",58.593750000000206,,"[2.53, 32.53]",71.77734375000026
sample_36,68.4082031250001,64.0,,"[10.30, 40.30]",68.55468750000024,,"[3.81, 33.81]",68.55468750000024,,"[3.81, 33.81]",68.55468750000024,,"[3.85, 33.85]",68.55468750000024,,"[4.03, 34.03]",68.55468750000024
sample_37,67.9687500000001,59.0,,"[12.25, 42.25]",67.96875000000024,,"[26.64, 56.64]",64.01367187499909,,"[26.64, 56.64]",64.01367187499909,,"[5.06, 35.06]",66.06445312500024,,"[23.30, 53.30]",63.72070312500023
sample_38,62.10937500000009,64.0,,"[15.10, 45.10]",63.28125000000023,,"[17.23, 47.23]",62.98828125000023,,"[17.23, 47.23]",62.98828125000023,,"[5.73, 35.73]",64.30664062500023,,"[15.51, 45.51]",63.13476562500023
sample_39,58.30078125000008,64.0,,"[9.65, 39.65]",59.61914062500021,,"[29.61, 59.61]",64.45312499999908,,"[29.61, 59.61]",64.45312499999908,,"[4.60, 34.60]",58.593750000000206,,"[30.00, 60.00]",64.45312499999908
sample_40,65.6250000000001,68.0,,"[19.40, 49.40]",66.06445312500024,,"[15.46, 45.46]",65.91796875000024,,"[15.46, 45.46]",65.91796875000024,,"[8.37, 38.37]",65.77148437500024,,"[11.89, 41.89]",65.91796875000024
sample_41,64.0136718750001,60.0,,"[19.35, 49.35]",65.33203125000023,,"[3.76, 33.76]",62.40234375000023,,"[3.76, 33.76]",62.40234375000023,,"[17.22, 47.22]",60.35156250000021,,"[2.08, 32.08]",62.54882812500023
sample_42,61.96289062500009,64.0,,"[4.30, 34.30]",46.14257812500016,,"[27.36, 57.36]",59.76562499999915,,"[27.36, 57.36]",59.76562499999915,,"[27.22, 57.22]",59.76562499999915,,"[27.73, 57.73]",59.76562499999915
sample_43,66.8701171875001,71.0,,"[20.80, 50.80]",65.91796875000024,,"[0.36, 30.36]",67.67578125000024,,"[0.36, 30.36]",67.67578125000024,,"[7.39, 37.39]",67.52929687500024,,"[0.00, 30.00]",67.52929687500024
sample_44,61.66992187500009,64.0,,"[9.30, 39.30]",61.52343750000021,,"[28.96, 58.96]",61.66992187499912,,"[28.96, 58.96]",61.66992187499912,,"[5.61, 35.61]",57.568359375000206,,"[28.90, 58.90]",61.66992187499912
sample_45,70.60546875000011,65.0,,"[29.65, 59.65]",70.89843749999899,,"[0.77, 30.77]",66.21093750000024,,"[0.77, 30.77]",66.21093750000024,,"[4.99, 34.99]",65.91796875000024,,"[2.18, 32.18]",65.77148437500024
sample_46,56.10351562500008,66.0,,"[15.60, 45.60]",56.8359375000002,,"[28.96, 58.96]",55.957031249999204,,"[28.96, 58.96]",55.957031249999204,,"[22.75, 52.75]",55.8105468750002,,"[30.00, 60.00]",55.664062499999204
sample_47,59.033203125000085,57.0,,"[19.40, 49.40]",59.17968750000021,,"[12.28, 42.28]",59.17968750000021,,"[12.28, 42.28]",59.17968750000021,,"[19.20, 49.20]",59.17968750000021,,"[12.66, 42.66]",59.32617187500021
sample_48,61.81640625000009,58.0,,"[11.60, 41.60]",61.66992187500021,,"[4.22, 34.22]",70.01953125000026,,"[4.22, 34.22]",70.01953125000026,,"[24.42, 54.42]",61.96289062500023,,"[3.80, 33.80]",70.16601562500026
sample_49,61.23046875000009,58.0,,"[16.30, 46.30]",58.740234375000206,,"[20.83, 50.83]",59.47265625000021,,"[20.83, 50.83]",59.47265625000021,,"[8.60, 38.60]",63.86718750000023,,"[23.63, 53.63]",59.76562500000021
